movie_title,year,duration,genre,rating
Moneyball,2011,133 min,"Biography, Drama, Sport",7.6
Nymphomaniac: Vol. I,2013,117 min,Drama,6.9
Ready or Not,I 2019,95 min,"Action, Comedy, Horror",6.8
The Accountant,2016,128 min,"Action, Thriller",7.3
"Three Billboards Outside Ebbing, Missouri",2017,115 min,"Comedy, Crime, Drama",8.1
Tropic Thunder,2008,107 min,"Action, Comedy, War",7.1
Mulholland Dr.,2001,147 min,"Drama, Mystery, Thriller",7.9
Ex Machina,2014,108 min,"Drama, Sci-Fi, Thriller",7.7
The Help,2011,146 min,Drama,8.1
Jagten,2012,115 min,Drama,8.3
Ocean's Eleven,2001,116 min,"Crime, Thriller",7.7
Lolita,1997,137 min,"Drama, Romance",6.8
Matilda,1996,98 min,"Comedy, Family, Fantasy",7.0
Superbad,2007,113 min,Comedy,7.6
Jojo Rabbit,2019,108 min,"Comedy, Drama, War",7.9
Mulan,2020,115 min,"Action, Adventure, Drama",5.8
Ah-ga-ssi,2016,145 min,"Drama, Romance, Thriller",8.1
Finding Nemo,2003,100 min,"Animation, Adventure, Comedy",8.2
The Human Centipede (First Sequence),2009,92 min,Horror,4.4
Let Him Go,2020,113 min,"Crime, Drama, Thriller",6.7
Toy Story,1995,81 min,"Animation, Adventure, Comedy",8.3
Jumanji: Welcome to the Jungle,2017,119 min,"Action, Adventure, Comedy",6.9
Aquaman,2018,143 min,"Action, Adventure, Fantasy",6.8
Wrong Turn,I 2003,84 min,"Horror, Thriller",6.1
